stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,piloting,Instruction.started,ins.started,ins_res.started,Instruction.stopped,ins_res.keys,ins_res.rt,ins_res.duration,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
22,0.5,1.0,36.2976196669988,,,,,,,,,,36.28474062500027,36.2976196669988,36.79773600000044,36.79773600000044,36.79773600000044,37.09763312499854,37.367912499998056,right,1.0,0,0,0.5517438750030124,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
23,0.5,1.5,37.379923874999804,,,,,,,,,,37.36821195799712,37.379923874999804,37.88095458300086,37.88095458300086,37.88095458300086,38.18084912499762,38.46603266699822,right,1.5,0,0,0.5783799999990151,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
24,0.5,2.0,38.47993066700292,,,,,,,,,,38.466350791997684,38.47993066700292,38.9809470830005,38.9809470830005,38.9809470830005,39.28082604199881,39.46840941700066,right,2.0,0,0,0.474380707993987,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
25,0.5,2.5,39.48005116699642,,,,,,,,,,39.4687017920005,39.48005116699642,39.98101595800108,39.98101595800108,39.98101595800108,40.28096550000191,40.55135679199884,right,2.5,0,0,0.5563116240009549,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
26,0.5,3.0,40.56322674999683,,,,,,,,,,40.5516446670008,40.56322674999683,41.064229791998514,41.064229791998514,41.064229791998514,41.3641540000026,41.53264250000211,left,-3.0,1,1,0.4601586659991881,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
27,0.5,3.0,41.54644479200215,,,,,,,,,,41.53298845799873,41.54644479200215,42.047482707996096,42.047482707996096,42.047482707996096,42.34762004199729,42.46580845800054,left,-3.0,1,1,0.41012116599449655,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
28,0.5,3.0,42.479911041999,,,,,,,,,,42.46619112500048,42.479911041999,42.98090124999726,42.98090124999726,42.98090124999726,43.28083845799847,43.55135404199973,right,3.0,1,1,0.5551988749939483,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
29,0.5,2.5,43.563312917001895,,,,,,,,,,43.55163229200116,43.563312917001895,44.06409658300254,44.06409658300254,44.06409658300254,44.36422641699755,44.44895416699728,right,2.5,1,1,0.3820042500010459,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
30,0.5,2.5,44.46416041700286,,,,,,,,,,44.44931012499728,44.46416041700286,44.96407508300035,44.96407508300035,44.96407508300035,45.26419545799581,45.46748012500029,right,2.5,1,1,0.4851813750065048,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
31,0.5,2.5,45.48082974999852,,,,,,,,,,45.467803749997984,45.48082974999852,45.98078683300264,45.98078683300264,45.98078683300264,46.28070750000188,46.46600987500278,left,-2.5,1,1,0.4832527079997817,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
32,0.5,2.0,46.48342520799633,,,,,,,,,,46.46642470799998,46.48342520799633,46.98085991699918,46.98085991699918,46.99749320800038,47.28080004199728,47.5018805419968,right,2.0,0,0,0.5071151250012917,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
33,0.5,2.5,47.51311741700192,,,,,,,,,,47.502216458000476,47.51311741700192,48.01400012499653,48.01400012499653,48.01400012499653,48.31410699999833,48.500930125002924,left,-2.5,1,1,0.4751004580029985,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
34,0.5,2.5,48.514158332996885,,,,,,,,,,48.501196999997774,48.514158332996885,49.014067457996134,49.014067457996134,49.014067457996134,49.31402516699745,49.43351537499984,right,2.5,0,0,0.4000859580046381,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
35,0.5,3.0,49.44736995799758,,,,,,,,,,49.43382225000096,49.44736995799758,49.94730266700208,49.94730266700208,49.94730266700208,50.24743533299625,50.36519474999659,left,-3.0,1,1,0.41470166700310074,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
36,0.5,3.0,50.38053037499776,,,,,,,,,,50.36549683300109,50.38053037499776,50.88071591700282,50.88071591700282,50.88071591700282,51.18085691700253,51.45131720799691,left,-3.0,1,1,0.5532117080001626,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
37,0.5,3.0,51.46306312499655,,,,,,,,,,51.45161179199931,51.46306312499655,51.96389729200018,51.96389729200018,51.96389729200018,52.26405037500081,52.40187729200261,left,-3.0,1,1,0.4189948330022162,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
38,0.5,2.5,52.412968582997564,,,,,,,,,,52.402148000001034,52.412968582997564,52.91395804200147,52.91395804200147,52.91395804200147,53.21402733300056,53.281869624996034,left,-2.5,1,1,0.3620174579991726,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
39,0.5,2.5,53.29737891699915,,,,,,,,,,53.282167416997254,53.29737891699915,53.79729399999633,53.79729399999633,53.79729399999633,54.09720537500107,54.21526187499694,left,-2.5,1,1,0.4155109999992419,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
40,0.5,2.5,54.23053662500024,,,,,,,,,,54.215584416997444,54.23053662500024,54.73070749999897,54.73070749999897,54.73070749999897,55.030643166996015,55.2513637919983,right,2.5,1,1,0.5040500420000171,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
41,0.5,2.0,55.26286912499927,,,,,,,,,,55.251643625000725,55.26286912499927,55.7640390000015,55.7640390000015,55.7640390000015,56.06396166700142,56.200942582996504,left,-2.0,1,1,0.4236563329977798,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
42,0.5,2.0,56.21396954199736,,,,,,,,,,56.20121270800155,56.21396954199736,56.71391883299657,56.71391883299657,56.71391883299657,57.0140219169989,57.148623499997484,left,-2.0,1,1,0.4299106659964309,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
43,0.5,2.0,57.16419483299978,,,,,,,,,,57.14892191699619,57.16419483299978,57.66393083299772,57.66393083299772,57.66393083299772,57.96386324999912,58.215661542002636,right,2.0,1,1,0.5458816659956938,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
44,0.5,1.5,58.22964441699878,,,,,,,,,,58.21603070799756,58.22964441699878,58.730493791998015,58.730493791998015,58.730493791998015,59.0306215419987,59.19890537500032,left,-1.5,1,1,0.46308666600089055,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
45,0.5,1.5,59.21290729199973,,,,,,,,,,59.1993022500028,59.21290729199973,59.71397091700055,59.71397091700055,59.71397091700055,60.013889499998186,60.1180529580015,right,1.5,1,1,0.3886522489992785,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
46,0.5,1.5,60.12957929199911,,,,,,,,,,60.118380708001496,60.12957929199911,60.63057445800223,60.63057445800223,60.63057445800223,60.93048850000196,61.05165049999778,right,1.5,1,1,0.40389691600285005,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
47,0.5,1.0,61.062958292000985,,,,,,,,,,61.05196962499758,61.062958292000985,61.56380112499755,61.56380112499755,61.56380112499755,61.86479979199794,62.03235537499859,right,1.0,1,1,0.4657336660020519,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
48,0.5,1.0,62.04622458299855,,,,,,,,,,62.03276583299885,62.04622458299855,62.54725004200009,62.54725004200009,62.54725004200009,62.84718045799673,63.05071729199699,left,-1.0,1,1,0.4861509160036803,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
49,0.5,1.0,63.063815957997576,,,,,,,,,,63.05095650000294,63.063815957997576,63.56376874999842,63.56376874999842,63.56376874999842,63.86369304199616,63.99901074999798,left,-1.0,1,1,0.42982554100308334,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
50,0.5,1,64.01283816700015,,,,,,,,,,63.99940025000251,64.01283816700015,64.51384508299816,64.51384508299816,64.51384508299816,64.81370612500177,65.08219675000146,right,1,1,1,0.5624975829996401,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
51,0.5,1,65.09612804200151,,,,,,,,,,65.08254079199833,65.09612804200151,65.59698675000254,65.59698675000254,65.59698675000254,65.8971200829983,66.03487899999891,left,-1,1,1,0.422388040999067,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
52,0.5,1,66.04639654199855,,,,,,,,,,66.03523079199658,66.04639654199855,66.54719566700078,66.54719566700078,66.54719566700078,66.84712070800015,66.98218429199915,right,1,0,0,0.4290865000002668,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
53,0.5,1.5,66.99631916699582,,,,,,,,,,66.98258083299879,66.99631916699582,67.49706758299726,67.49706758299726,67.49706758299726,67.79719916699833,67.91532683299738,left,-1.5,1,1,0.41432254100072896,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
54,0.5,1.5,67.92941283300024,,,,,,,,,,67.91569699999673,67.92941283300024,68.43045645800157,68.43045645800157,68.43045645800157,68.73040824999771,68.83186083300097,left,-1.5,1,1,0.3978257909984677,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
55,0.5,1.5,68.84715416700055,,,,,,,,,,68.83221899999626,68.84715416700055,69.34705799999938,69.34705799999938,69.34705799999938,69.64701666699693,69.85145941699739,right,1.5,1,1,0.49334341699432116,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
56,0.5,1.0,69.86277783299738,,,,,,,,,,69.85178133299632,69.86277783299738,70.36378245800006,70.36378245800006,70.36378245800006,70.66372487499757,70.83454870800051,left,-1.0,0,0,0.4514901660004398,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
57,0.5,1.5,70.8460202080023,,,,,,,,,,70.83491320799658,70.8460202080023,71.3468476670023,71.3468476670023,71.3468476670023,71.64699320799991,72.01701583300019,left,-1.5,1,1,0.6582290829974227,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
58,0.5,1.5,72.02999304200057,,,,,,,,,,72.01730920800037,72.02999304200057,72.53031512499729,72.53031512499729,72.53031512499729,72.8302898749971,73.08188604199677,right,1.5,1,1,0.5477797079947777,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
